Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Bloody Dick,"355	",Montana,SNOTEL,Beaverhead,7600,45.16507,-113.50099,"100200011002	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,31,67,33,2,2,-0.5,48,12,10,,,,3.27,1.5,0,13,"2012, 2014, 2016, more",2017,22
Blue Lakes,"356	",California,SNOTEL,Alpine,8067,38.608,-119.92437,"180400120101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,32,16,1,Lowest,,,3.22,1,0,24,"2018, 2019, 2020, more",2004,23
Blue Mountain Spring,"357	",Oregon,SNOTEL,Grant,5870,44.24767,-118.51722,"170501160104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,82,5,1,Lowest,,,0.7,0,0,9,"2018, 2019, 2020, more",2005,23
Bobs Hollow,"1278	",Utah,SNOTEL,Millard,9319,38.94569,-112.15349,"160300051401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",4
Bogus Basin,"978	",Idaho,SNOTEL,Boise,6340,43.76377,-116.09685,"170501220201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,52,11,1,Lowest,,,1.82,0,0,11,"2018, 2019, 2020, more",2004,22
Bondurant,"0865	",Wyoming,ACIS,Sublette,6620,43.2,-110.4,"170401030207	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.8,0,0,10,"2015, 2016, 2019, more",1961,64
Bone Springs Div,"358	",Wyoming,SNOTEL,Sheridan,9350,44.67888,-107.5811,"100800100102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",14,,,124,127,78,21,22,3,59,8,11,,,,11.28,11,0,21,2014,2011,18
Bonneville Dam,"350897	",Oregon,ACIS,Multnomah,62,45.6353,-121.9522,"170800010801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",77
Boss Mountain Mine,"1C20P	",British Columbia,Cooperator Snow Sensors,"	",4846,52.1,-120.86667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,7.58,6,0,19,"2002, 2003",2018,19
Bostetter R.S.,"359	",Idaho,SNOTEL,Cassia,7500,42.16442,-114.19272,"170402120201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.71,0,0,4,"2013, 2016, 2017, more",2006,14
Boulder Mountain,"360	",Montana,SNOTEL,Meagher,7950,46.5596,-111.28973,"100301030501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",14,,,131,175,67,19,19,6,79,5,16,,,,10.65,8,0,33,2016,2017,20
Boulder Rearing Stn,"0951	",Wyoming,ACIS,Sublette,6940,42.71666,-109.68333,"140401020602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.53,0,0,7,"2017, 2018, 2019, more",2003,30
Bourne,"361	",Oregon,SNOTEL,Baker,5850,44.83052,-118.18787,"170502030101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.43,0,0,4,"2016, 2018, 2019, more",2011,14
Bowman Springs,"362	",Oregon,SNOTEL,Umatilla,4530,45.36428,-118.46715,"170701030401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,86,3,1,Lowest,,,0.13,0,0,1,"2018, 2019, 2020, more","2011, 2017",15
Box Canyon,"363	",Montana,SNOTEL,Park,6670,45.2719,-110.24903,"100700020902	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,62,100,25,5,5,0,56,9,10,,,,3.21,2,0,17,"2012, 2014, 2016, more",2017,19
Box Creek,"364	",Utah,SNOTEL,Sevier,9853,38.50809,-112.01856,"160300020106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,55,11,1,Lowest,,,2.52,0,0,19,"2018, 2019, 2020, more",2000,23
Box Springs,"1156	",Utah,SNOTEL,Piute,9228,38.49746,-112.00779,"160300020107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,70,4,1,Lowest,,,0.45,0,0,3,"2018, 2019, 2020, more",2013,11
Brackett Creek,"365	",Montana,SNOTEL,Gallatin,7320,45.89107,-110.93851,"100700030403	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,118,111,59,13,14,1,72,6,12,,,,8.47,9,0,23,"2007, 2011, 2016",2017,19
Brian Head,"1154	",Utah,SNOTEL,Iron,10039,37.67994,-112.85674,"160300060201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-0.5,44,6,1,Lowest,,,2.2,0.5,0,8,"2017, 2019, 2020, more",2018,10
Brighton,"366	",Utah,SNOTEL,Salt Lake,8766,40.59936,-111.58167,"160202040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1.5,30,17,1,Lowest,,,3.96,1.5,0,29,"2016, 2017, 2020, more",2004,24
Bristlecone Trail,"1111	",Nevada,SNOTEL,Clark,8890,36.31575,-115.69543,"150100150206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,75,4,1,Lowest,,,0.38,0,0,2,"2018, 2019, 2020, more","2014, 2015",13
Brooklyn Lake,"367	",Wyoming,SNOTEL,Albany,10240,41.35885,-106.23209,"101800100502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,29,27,20,2,2,-5.5,24,14,4,,,,6.89,7.5,0,17,2016,2009,18
Brown Duck,"368	",Utah,SNOTEL,Duchesne,10574,40.58102,-110.58587,"140600030604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-6.5,6,17,1,Lowest,,,8.89,6.5,0,39,"2017, 2020",2004,18
Brown Top,"1080	",Washington,SNOTEL,Whatcom,5830,48.92755,-121.19713,"171100050601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,62,88,50,4,4,-1,27,9,4,,,,11.33,8,4,24,2019,2016,12
Brumley,"369	",Colorado,SNOTEL,Lake,10600,39.08766,-106.5417,"110200010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,77,100,38,3,6,0,53,9,9,,,,3.89,3,0,11,"2012, 2016, 2017, more",2003,18
Brundage Reservoir,"370	",Idaho,SNOTEL,Adams,6250,45.04315,-116.13253,"170602100104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,31,12,1,Lowest,,,3.76,2,0,14,"2015, 2016, 2020, more","2005, 2017",17
Buck Flat,"371	",Utah,SNOTEL,Sanpete,9409,39.134,-111.43722,"140600090302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.28,0,0,9,"2017, 2018, 2019, more",2004,18
Buck Pasture,"1192	",Utah,SNOTEL,Summit,9632,40.84456,-110.66068,"140401070301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,53,100,17,2,2,0,63,4,5,,,,1.89,1,0,7,"2015, 2016, 2017, more",2019,9
Buckboard Flat,"1153	",Utah,SNOTEL,San Juan,8924,37.86943,-109.44717,"140802030103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1,0,0,4,"2017, 2018, 2019, more","2013, 2015",8
Buckhorn,"2216	",Nevada,SCAN,Washoe,3925,40.87959,-119.9534,"180800020104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.5,1.5,0,3,2017,2015,2
Buckinghorse,"1107	",Washington,SNOTEL,Jefferson,4870,47.7086,-123.45747,"171100200501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,7,1,Lowest,,,2.77,0,0,12,"2018, 2019, 2020, more",2010,13
Buckskin Joe,"938	",Colorado,SNOTEL,Park,11150,39.3035,-106.11307,"101900010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4,10,20,1,Lowest,,,4.86,4,0,13,"2001, 2016, 2020",2018,22
Buckskin Lake AM,"1292	",Oregon,SNOLITE,Harney,5190,43.02503,-118.94785,"171200030206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2018, 2019","2018, 2019",2
Buckskin Lower,"373	",Nevada,SNOTEL,Humboldt,6930,41.75067,-117.53182,"160401090502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,9,1,Lowest,,,1.94,0,0,11,"2018, 2019, 2020, more",2004,17
Buffalo Park,"913	",Colorado,SNOTEL,Grand,9240,40.22861,-106.59528,"140100010706	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,79,100,57,5,7,0,61,8,7,,,,5.05,4,0,15,"2008, 2016",2013,19
Bug Lake,"374	",Utah,SNOTEL,Rich,7987,41.68541,-111.41987,"160102010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.81,3,0,14,"2008, 2014, 2018, more",2004,21
Bull Basin AM,"1293	",Idaho,SNOLITE,Owyhee,5480,42.35673,-116.95906,"170501041703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020","2018, 2019, 2020",3
Bumping Ridge,"375	",Washington,SNOTEL,Yakima,4610,46.81003,-121.33058,"170300020105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-0.5,47,10,1,Lowest,,,2.33,0.5,0,15,"2018, 2019, 2020, more",2005,18
Bunchgrass Mdw,"376	",Washington,SNOTEL,Pend Oreille,5000,48.68688,-117.17633,"170102160401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,35,50,29,2,2,-2,44,10,7,,,,5.76,4,0,18,"2008, 2014, 2016",2017,17
Burgess Junction,"377	",Wyoming,SNOTEL,Sheridan,7880,44.78765,-107.52917,"100901010202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,155,129,64,17,17,2,75,5,12,,,,5.82,7,0,14,"2012, 2015, 2016, more","2013, 2019",17
Burnside Lake,"1051	",California,SNOTEL,Alpine,8129,38.71943,-119.8942,"160502010107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-0.5,47,10,1,Lowest,,,3.72,0.5,0,26,"2018, 2019, 2020, more",2004,18
Burnt Bridge Creek,"3C08P	",British Columbia,Cooperator Snow Sensors,"	",4360,52.46667,-126.23333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,10.53,10,0,29,"2002, 2009, 2013",2001,19
Burnt Mountain,"942	",Washington,SNOTEL,Pierce,4170,47.0444,-121.94032,"171100140103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.5,0,0,5,"2016, 2018, 2019, more",2017,20
Burnt Mtn,"981	",Montana,SNOTEL,Carbon,5880,45.2401,-109.45961,"100700060802	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,138,,31,13,14,4,72,6,14,,,,2.89,0,0,11,"2014, 2016, 2018, more","2003, 2017",19
Burro Mountain,"378	",Colorado,SNOTEL,Rio Blanco,9400,39.87505,-107.59853,"140500050302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,57,67,29,3,4,-1,44,11,8,,,,3.53,3,0,10,"2008, 2012, 2016, more","2002, 2003",19
Burroughs Creek,"379	",Wyoming,SNOTEL,Fremont,8750,43.69733,-109.67021,"100800010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,56,60,25,6,6,-2,31,12,6,,,,5.35,5,0,16,"2014, 2016",2017,17
Burts Miller Ranch,"1135	",Utah,SNOTEL,Summit,8000,40.98492,-110.85075,"160101010105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,82,3,1,Lowest,,,0.42,0,0,3,"2018, 2019, 2020, more",2011,12
Butte,"380	",Colorado,SNOTEL,Gunnison,10160,38.89433,-106.953,"140200010206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,6,33,25,1,2,-2,35,12,6,,,,15.89,3,0,241,"2012, 2016, 2017, more",2003,18
Calamity,"1109	",Washington,SNOTEL,Skamania,2500,45.90362,-122.21633,"170800020603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",13
Call Meadows AM,"1289	",Oregon,SNOLITE,Harney,5380,43.81191,-118.78565,"171200010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2018, 2019","2018, 2019",2
Calvert Creek,"381	",Montana,SNOTEL,Deer Lodge,6430,45.8838,-113.32553,"100200040801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,71,6,1,Lowest,,,1.11,0,0,8,"2016, 2018, 2020, more",2017,18
Camas Creek Divide,"382	",Idaho,SNOTEL,Elmore,5710,43.26548,-115.3453,"170402200101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",10
Camp Jackson,"383	",Utah,SNOTEL,San Juan,8858,37.81333,-109.48723,"140802010301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,68,8,1,Lowest,,,1.13,0,0,6,"2017, 2018, 2020, more",2000,23
Canyon,"384	",Wyoming,SNOTEL,Park,7870,44.71961,-110.51084,"100700010705	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,57,75,100,6,6,-1,25,13,4,,,,5.24,4,0,13,2016,2013,17
Carrot Basin,"385	",Montana,SNOTEL,Gallatin,9000,44.96192,-111.29403,"100200080105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",8,,,55,50,53,9,9,-8,17,21,5,,,,14.44,16,6,25,"1999, 2011, 2014, more",2017,25
Carson Pass,"1067	",California,SNOTEL,Alpine,8360,38.6927,-120.0022,"180201290101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,38,11,1,Lowest,,,4.47,1,0,37,"2018, 2019, 2020, more",2004,17
Cascade,"386	",Colorado,SNOTEL,San Juan,8880,37.65083,-107.80602,"140801040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,75,5,1,Lowest,,,11.94,0,0,200,"2018, 2019, 2020, more",2005,17
Cascade #2,"387	",Colorado,SNOTEL,San Juan,8920,37.658,-107.80268,"140801040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,567,,33,2,2,1,100,1,15,Highest,,,0.18,0,0,1,"2017, 2018, 2019, more","2011, 2015, 2020",17
Cascade Mountain,"1039	",Utah,SNOTEL,Utah,7774,40.283,-111.60992,"160202030505	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.22,0,0,12,"2016, 2017, 2018, more","2003, 2004",18
Cascade Summit,"388	",Oregon,SNOTEL,Deschutes,5100,43.59042,-122.0601,"170900010301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.41,1,0,11,"2016, 2018, 2019, more",2017,22
Casper Mtn.,"389	",Wyoming,SNOTEL,Natrona,7900,42.73389,-106.31861,"101800070804	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,16,33,33,1,2,-2,39,15,7,,,,6.08,3,0,19,"2014, 2015, 2016, more",2013,24
Castle Creek,"1130	",Wyoming,SNOTEL,Fremont,8400,43.6748,-109.3774,"100800010401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,220,400,31,12,12,3,90,2,10,2nd Highest,,,1.82,1,0,10,"2015, 2016, 2018, more",2017,11
Castle Valley,"390	",Utah,SNOTEL,Iron,9607,37.66098,-112.74093,"160300010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.88,0,0,18,"2017, 2018, 2019, more",2004,17
Cave Mountain,"1152	",Nevada,SNOTEL,White Pine,10578,39.16337,-114.6133,"160600080402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,67,4,1,Lowest,,,1.1,0,0,8,"2018, 2019, 2020, more",2013,10
Cayuse Pass,"1085	",Washington,SNOTEL,Pierce,5240,46.86954,-121.5343,"171100140301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3,0.5,0,11,"2016, 2018, 2019, more",2017,14
Cedar Kiteen,"4B18P	",British Columbia,Cooperator Snow Sensors,"	",2992,55.15,-128.7,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,7,6,0,22,"2000, 2002, 2016",2011,9
Cedar Pass,"391	",California,SNOTEL,Modoc,7030,41.58233,-120.3025,"180200020603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1,0,0,5,"2013, 2018, 2019, more",2008,14
Celista Mountain,"1F06P	",British Columbia,Cooperator Snow Sensors,"	",5030,51.4,-118.98333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",28,,,155,165,58,28,27,11,93,2,13,2nd Highest,,,18.06,17,6,31,2008,2007,16
Chalender,"1139	",Arizona,SNOTEL,Coconino,7100,35.26247,-112.06231,"150602020305	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,400,,50,6,6,1,100,1,10,Highest,,,0.25,0,0,1,"2016, 2017, 2019, more","2015, 2018, 2020",12
Chalk Creek #1,"392	",Utah,SNOTEL,Summit,9171,40.85464,-111.04765,"160201010301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4,14,19,1,Lowest,,,6.18,4,0,27,"2014, 2017, 2020, more",2004,22
Chalk Creek #2,"393	",Utah,SNOTEL,Summit,8208,40.88529,-111.06954,"160201010301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-3,23,18,1,Lowest,,,4.26,3,0,18,"2014, 2017, 2020, more",2003,23
Chamita,"394	",New Mexico,SNOTEL,Rio Arriba,8400,36.95636,-106.65682,"130201020204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,229,,25,2,3,1,93,2,12,2nd Highest,,,0.44,0,0,3,"2015, 2016, 2017, more",2019,16
Chapman Tunnel,"1101	",Colorado,SNOTEL,Pitkin,10110,39.26217,-106.62931,"140100040504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,20,25,25,1,2,-3,17,11,1,Lowest,,,5,4,1,12,"2016, 2017, 2020",2013,13
Charkiln,"2145	",Nevada,SCAN,Clark,6683,36.36651,-115.82047,"160600150101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",8
Checkers Creek,"2213	",Alaska,SCAN,Nome,326,65.403,-164.711,"190501050503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2014, 2015, 2016","2014, 2015, 2016",3
Chemult Alternate,"395	",Oregon,SNOTEL,Klamath,4850,43.22625,-121.80662,"180102010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",15
Chena Lakes,"1260	",Alaska,SNOTEL,Fairbanks North Star,500,64.75793,-147.21823,"190803060901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,100,100,100,,,0,,1,1,,,,5,5,5,5,2020,2020,1
Chepeta,"396	",Utah,SNOTEL,Duchesne,10499,40.77458,-110.0105,"140600031202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4,13,15,1,Lowest,,,7,4,0,43,"2016, 2017, 2020",2004,17
Chicken Ridge,"2150	",Utah,SCAN,Morgan,7649,41.33136,-111.3036,"160201010603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.14,0,0,1,"2016, 2017, 2018, more",2019,7
Chilliwack River,"1D17P	",British Columbia,Cooperator Snow Sensors,"	",5318,49.01667,-121.7,"171100010206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,9.3,7,0,30,"2007, 2014, 2016",2004,20
Chisana,"1093	",Alaska,SNOTEL,Valdez-Cordova,3320,62.069,-142.049,"190803010305	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,105,100,100,25,27,0,55,6,6,,,,4.75,5,0,11,"2013, 2016",2008,12
Chocolate Gulch,"895	",Idaho,SNOTEL,Blaine,6310,43.7685,-114.41812,"170402190301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,95,,100,2,2,1,76,5,13,,,,1.06,0,0,6,"2017, 2018, 2019, more",2005,18
Cinnabar Park,"1046	",Wyoming,SNOTEL,Albany,9574,41.23837,-106.23095,"101800100503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,49,57,50,4,5,-3,35,12,5,,,,8.11,7,0,17,"2005, 2016",2009,18
Clackamas Lake,"398	",Oregon,SNOTEL,Clackamas,3400,45.09658,-121.75443,"170900110301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,59,8,1,Lowest,,,0.5,0,0,2,"2018, 2019, 2020, more","2005, 2017",18
Clayton Springs,"983	",Utah,SNOTEL,Garfield,10049,37.9725,-111.83355,"160300020501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-2,45,12,1,Lowest,,,3.86,2,0,29,"2017, 2019, 2020, more",2000,21
Clear Creek #1,"399	",Utah,SNOTEL,Utah,8975,39.86671,-111.28363,"160202020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.83,1,0,20,"2016, 2017, 2018, more",2004,18
Clear Creek #2,"400	",Utah,SNOTEL,Utah,7837,39.89275,-111.25154,"160202020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,47,10,1,Lowest,,,2.78,1,0,11,"2017, 2018, 2020, more",2003,18
Clear Lake,"401	",Oregon,SNOTEL,Wasco,3810,45.18832,-121.6916,"170703060901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.2,0,0,2,"2017, 2018, 2019, more",2013,15
Cloud Peak Reservoir,"402	",Wyoming,SNOTEL,Johnson,9860,44.40343,-107.06057,"100902060301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,122,118,71,15,15,1.5,53,9,10,,,,8.22,8.5,0,17,"2014, 2015, 2016","2013, 2019",18
Clover Meadow,"403	",Montana,SNOTEL,Madison,8600,45.01788,-111.8456,"100200070803	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,31,35,60,5,5,-5.5,19,18,1,Lowest,,,9.68,8.5,3,23,"2014, 2016, 2020, more",2017,22
Cochetopa Pass,"1059	",Colorado,SNOTEL,Saguache,10020,38.16283,-106.59883,"130100040203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,71,100,25,2,4,0,63,7,8,,,,1.41,1,0,6,"2010, 2012, 2016, more",2019,17
Cold Springs,"405	",Wyoming,SNOTEL,Fremont,9630,43.27676,-109.44585,"100800010702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,23,33,50,3,3,-2,23,18,6,,,,4.26,3,0,12,"2007, 2014, 2016, more",2013,23
Cold Springs Camp,"406	",Oregon,SNOTEL,Klamath,5940,42.53305,-122.17683,"180102030202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.73,0,0,10,"2016, 2018, 2019, more",2005,15
Coldfoot,"958	",Alaska,SNOTEL,Yukon-Koyukuk,1040,67.25333,-150.183,"190901010604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,15,14,100,1,3,-6,6,18,2,2nd Lowest,,,6.58,7,0,21,2012,2004,19
Cole Canyon,"982	",Wyoming,SNOTEL,Crook,5910,44.48632,-104.41057,"101202030302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,61,8,1,Lowest,,,1.89,0,0,11,"2016, 2018, 2020, more",2019,19
Cole Creek,"407	",Montana,SNOTEL,Carbon,7850,45.19405,-109.34548,"100700060801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",12,,,127,120,48,18,18,2,61,8,11,,,,9.42,10,0,21,"2010, 2014, 2016, more","2009, 2013",19
Columbia Basin,"1204	",Nevada,SNOTEL,Elko,6483,41.67167,-116.07033,"170501050503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.38,0,0,8,"2017, 2018, 2019, more",2015,8
Columbine,"408	",Colorado,SNOTEL,Jackson,9160,40.3948,-106.60408,"101800010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,52,100,33,2,2,0,50,9,9,,,,3.82,2,0,13,"2008, 2012, 2016, more","2013, 2019",17
Columbine Pass,"409	",Colorado,SNOTEL,Montrose,9400,38.41795,-108.38249,"140200050202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,9,1,Lowest,,,1.24,0,0,6,"2016, 2017, 2020, more",2013,17
Columbus Basin,"904	",Colorado,SNOTEL,La Plata,10785,37.44147,-108.02445,"140801050101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,8.4,4.5,0,35,"2007, 2016",2000,20
Combination,"410	",Montana,SNOTEL,Granite,5600,46.46523,-113.39358,"170102020401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,67,,13,4,5,1,71,6,13,,,,1.5,0,0,9,"2014, 2016, 2018, more",2015,18
Cool Creek,"411	",Idaho,SNOTEL,Clearwater,6280,46.76361,-115.29528,"170603070702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,129,225,60,7,7,5,70,7,15,,,,7,4,1,27,"2008, 2015, 2016, more",2004,21
Cooper Lake,"959	",Alaska,SNOTEL,Kenai Peninsula,1200,60.39027,-149.6936,"190203021205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-2,33,13,1,Lowest,,,3.89,2,0,17,"2016, 2017, 2020, more",2010,19
